obs,Ct,Yt
1959,7876,8641
1960,7926,8660
1961,7954,8794
1962,8220,9077
1963,8434,9274
1964,8817,9805
1965,9257,10292
1966,9674,10715
1967,9854,11061
1968,10313,11448
1969,10593,11708
1970,10717,12022
1971,10975,12345
1972,11508,12770
1973,11950,13539
1974,11756,13310
1975,11899,13404
1976,12446,13793
1977,12846,14095
1978,13258,14662
1979,13417,14899
1980,13216,14813
1981,13245,15009
1982,13270,14999
1983,13829,15277
1984,14415,16252
1985,14954,16597
1986,15409,16981
1987,15740,17106
1988,16211,17621
1989,16430,17801
1990,16532,17942
1991,16249,17755
1992,16520,18062
1993,16810,18075
1994,17152,18320
